식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D202-120000000-2419,피자_마르게리타 피자 팬 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,323,,12.28,,,,2.95,,,,,,499,,,,,,,,,,5.8,,3,식품의약품안전처,773g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2421,피자_만수르 피자 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,244,,6.9,,,,2.58,,,,,,446,,,,,,,,,,5.88,,3,식품의약품안전처,1030g,피자플래넷,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2422,피자_매달매달 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,269,,13.85,,,,6.15,,,,,,385,,,,,,,,,,6,,3,식품의약품안전처,1040g,피자는치즈빨,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2424,피자_맵슐랭 피자 (12인치),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,220,,10.67,,,,4,,,,,,520,,,,,,,,,,3.2,,3,식품의약품안전처,100g,자담치킨,2,수집,2023-10-12,2024-04-16,1471000,식품의약품안전처
D202-120000000-2425,피자_맵슐랭 피자 (7인치),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,241,,11.71,,,,4.39,,,,,,527,,,,,,,,,,4.39,,3,식품의약품안전처,205g,자담치킨,2,수집,2023-10-12,2024-04-16,1471000,식품의약품안전처
D202-120000000-2426,피자_맵 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,281,,13.29,,,,2.8,,,,,,148,,,,,,,,,,5.59,,3,식품의약품안전처,1142g,피자에땅,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2427,피자_멕시칸맥쉬림프 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,261,,9.14,,,,4.86,,,,,,560,,,,,,,,,,4.21,,3,식품의약품안전처,1285g,청년피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2431,피자_모짜렐라치즈 피자,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,289,,11.34,,,38.14,4.12,,,,,,484,,,,,,,,,36.08,5.15,0,3,식품의약품안전처,772g,선명희피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2441,피자_미니고구마무스 피자,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,216,,10.31,,,26.8,6.19,,,,,,333,,,,,,,,,17.53,4.12,0,3,식품의약품안전처,386g,선명희피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2389,피자_립스테이크&쉬림프 피자 프리미엄 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,236,,12.18,,,,4.2,,,,,,586,,,,,,,,,,3.19,,3,식품의약품안전처,955g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2390,피자_립스테이크&쉬림프 피자 프리첼 치즈 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,240,,10.07,,,,6.85,,,,,,489,,,,,,,,,,4.43,,3,식품의약품안전처,1197g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2391,피자_마가리타 피자 골드링 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,284,,12.49,,,,7.81,,,,,,590,,,,,,,,,,3.9,,3,식품의약품안전처,1024.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2392,피자_마가리타 피자 골드링 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,285,,12.25,,,,7.58,,,,,,590,,,,,,,,,,4.08,,3,식품의약품안전처,685.6,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2393,피자_마가리타 피자 골드링 (P),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,284,,12.27,,,,7.94,,,,,,590,,,,,,,,,,3.61,,3,식품의약품안전처,1385.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2394,피자_마가리타 피자 골드링씬 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,297,,11.07,,,,5.53,,,,,,542,,,,,,,,,,4.74,,3,식품의약품안전처,1012.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2395,피자_마가리타 피자 씬 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,299,,11.83,,,,1.54,,,,,,607,,,,,,,,,,4.63,,3,식품의약품안전처,777.2,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2396,피자_마가리타 피자 오리지널 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,268,,11.14,,,,5.07,,,,,,618,,,,,,,,,,3.04,,3,식품의약품안전처,789.9,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2397,피자_마가리타 피자 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,268,,10.9,,,,4.77,,,,,,618,,,,,,,,,,3.41,,3,식품의약품안전처,587g,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2398,피자_마가리타 피자 오리지널 (P),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,268,,10.96,,,,4.98,,,,,,619,,,,,,,,,,2.99,,3,식품의약품안전처,1004.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2399,피자_마가리타 피자 오리지널 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,268,,11.09,,,,4.62,,,,,,618,,,,,,,,,,2.77,,3,식품의약품안전처,324.3,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2400,피자_마가리타 피자 치즈롤 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,277,,12.36,,,,3.86,,,,,,653,,,,,,,,,,4.64,,3,식품의약품안전처,1035.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2401,피자_마가리타 피자 치즈롤 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,277,,12.33,,,,3.6,,,,,,653,,,,,,,,,,4.11,,3,식품의약품안전처,778.2,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2402,피자_마가리타 피자 치즈롤 (P),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,277,,12.27,,,,3.83,,,,,,653,,,,,,,,,,4.6,,3,식품의약품안전처,1303.,파파존스,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2403,피자_마라 피자 골드스윗 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,262,,15.32,,,,5.41,,,,,,377,,,,,,,,,,6.31,,3,식품의약품안전처,884g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2404,피자_마라 피자 골드스윗 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,263,,15.07,,,,5.48,,,,,,373,,,,,,,,,,6.16,,3,식품의약품안전처,584g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2405,피자_마라 피자 리코타링 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,262,,15.58,,,,5.03,,,,,,420,,,,,,,,,,5.53,,3,식품의약품안전처,794g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2406,피자_마라 피자 리코타링 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,264,,16.15,,,,5.38,,,,,,428,,,,,,,,,,6.15,,3,식품의약품안전처,519g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2407,피자_마라 피자 마라링 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,252,,16.67,,,,3.92,,,,,,451,,,,,,,,,,4.9,,3,식품의약품안전처,814g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2371,피자_리코타 페퍼로니 킹덤 피자 씬 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,300,,11.9,18.76,,20.8,5,,,,,,472,,,,,,,,,29.01,8.6,0.27,3,식품의약품안전처,315g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2372,피자_리코타 페퍼로니 킹덤 피자 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,257,,10.9,11.12,,28.34,3,,,,,,410,,,,,,,,,19.52,4.9,0.19,3,식품의약품안전처,896g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2373,피자_리코타 페퍼로니 킹덤 피자 오리지널 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,257,,10,10.89,,29.31,3,,,,,,393,,,,,,,,,20.6,4.9,0.18,3,식품의약품안전처,542g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2374,피자_리코타 페퍼로니 킹덤 피자 치즈버스트 나폴리 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,268,,11.8,14.35,,22.77,4,,,,,,499,,,,,,,,,31.47,7,0.24,3,식품의약품안전처,877g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2375,피자_리코타 페퍼로니 킹덤 피자 치즈버스트 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,267,,11,13.37,,24.89,3,,,,,,480,,,,,,,,,23.95,6.7,0.25,3,식품의약품안전처,1085g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2376,피자_리코타 페퍼로니 킹덤 피자 화이버 버스트 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,262,,11,11.65,,28.2,3.5,,,,,,381,,,,,,,,,21.87,5.5,0.18,3,식품의약품안전처,1083g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2377,피자_리코타 페퍼로니 킹덤 피자 화이버 엣지 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,262,,10.9,12.7,,25.92,3,,,,,,389,,,,,,,,,22.46,5.8,0.19,3,식품의약품안전처,1046g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2378,피자_리코타 페퍼로니 킹덤 피자 화이버 엣지 오리지널 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,267,,11.9,12.51,,26.68,3,,,,,,399,,,,,,,,,22.48,6,0.2,3,식품의약품안전처,658g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2379,피자_립스테이크 피자 리치골드 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,254,,11.61,,,,4.97,,,,,,460,,,,,,,,,,4.77,,3,식품의약품안전처,1245g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2380,피자_립스테이크 피자 리치골드 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,257,,11.73,,,,5.43,,,,,,428,,,,,,,,,,4.96,,3,식품의약품안전처,763g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2381,피자_립스테이크 피자 프리미엄 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,257,,12.05,,,,4.64,,,,,,565,,,,,,,,,,3.75,,3,식품의약품안전처,903g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2382,피자_립스테이크 피자 프리미엄 오리지널 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,258,,12.05,,,,4.62,,,,,,558,,,,,,,,,,3.98,,3,식품의약품안전처,514g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2383,피자_립스테이크 피자 더블치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,258,,13.49,,,,3.62,,,,,,513,,,,,,,,,,5.37,,3,식품의약품안전처,1199g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2384,피자_립스테이크 피자 더블치즈크러스트 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,263,,14,,,,3.67,,,,,,493,,,,,,,,,,5.83,,3,식품의약품안전처,723g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2385,피자_립스테이크 피자 프리첼 치즈 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,256,,9.93,,,,7.39,,,,,,467,,,,,,,,,,4.93,,3,식품의약품안전처,1142g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2386,피자_립스테이크 피자 프리첼 치즈 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,261,,9.82,,,,7.79,,,,,,432,,,,,,,,,,5.31,,3,식품의약품안전처,679g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2387,피자_립스테이크&쉬림프 피자 더블치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,242,,13.46,,,,3.33,,,,,,531,,,,,,,,,,4.87,,3,식품의약품안전처,1255g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2388,피자_립스테이크&쉬림프 피자 리치골드 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,240,,11.73,,,,4.63,,,,,,480,,,,,,,,,,4.32,,3,식품의약품안전처,1300g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2350,피자_리얼불고기 피자 씬 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,282,,13.23,13.89,,26.05,6.73,,,,,,545,,,,,,,,,27.33,7,0.27,3,식품의약품안전처,303g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2351,피자_리얼불고기 피자 오리지널 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,258,,11.79,8,,34.66,4.35,,,,,,439,,,,,,,,,16.53,3.49,0.19,3,식품의약품안전처,508g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2352,피자_리얼불고기 피자 치즈버스트 나폴리 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,253,,13,12.07,,22.9,4.7,,,,,,518,,,,,,,,,31.79,6.5,0.28,3,식품의약품안전처,968g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2353,피자_리얼불고기 피자 치즈버스트 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,256,,12,10.86,,27.48,4,,,,,,465,,,,,,,,,23.62,5.5,0.3,3,식품의약품안전처,1176g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2357,피자_리치고구마치킨 피자 씬바샤삭 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,276,,12.72,,,,5.78,,,,,,402,,,,,,,,,,6.36,,3,식품의약품안전처,690g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2358,피자_리치고구마치킨 피자 씬바샤삭 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,265,,12.31,,,,6.92,,,,,,343,,,,,,,,,,5.38,,3,식품의약품안전처,518g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2359,피자_리치골드 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,375,,20.5,14.02,,37.16,6.1,,,,,,485,,,,,,,,,34.99,6.56,0.2,3,식품의약품안전처,554g,난타5000피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2360,피자_리코타 페퍼로니 킹덤 피자 나폴리 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,259,,11,11.86,,26.84,3,,,,,,444,,,,,,,,,21.2,5,0.2,3,식품의약품안전처,683g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2361,피자_리코타 페퍼로니 킹덤 피자 나폴리 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,259,,12,12.12,,24.95,4,,,,,,439,,,,,,,,,25.4,5,0.2,3,식품의약품안전처,417g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2362,피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,280,,12.41,14.13,,24.13,2.6,,,,,,494,,,,,,,,,24.59,6.2,0.26,3,식품의약품안전처,1080g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2363,피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,269,,11.43,13.91,,23.92,2.92,,,,,,493,,,,,,,,,26.25,6.74,0.27,3,식품의약품안전처,686g,도미노피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
